,blacklivesmatter,blm,spotify,indie,music,indiepopdatabase,nowplaying,zombies,covid19,keepingitpeel,icantbreathe,hiphop,podcast,wewillvote,newmusic,rap,vote,unity,lgbtq,coronavirus,racism,museboost,stopthehate,spotifyplaylist,allblacklivesmatter,translivesmatter,stopthekillings,podernfamily,breonnataylor,love,letour2020,newmusicfriday,artist,viral,georgefloyd,justiceforbreonnataylor,rtlt,itunes,blackhistorymonth,blacktwitter,blacklivesstillmatter,usa,playlist,newmusicalert,votelikeyourlifedependsonit,new,share,podcasts,defundthepolice,jazz,rapper,allbuildingsmatter,mentalhealth,trap,applemusic,beats,blackisbeautiful,bethechange,hiphop_x_jazz,acab,podcastrecommendations,endracism,spotifycharts,rapmusic,hiphopmusic,art,trump,southafrica,vote2020,rtltbot,podcasting,rt,beherd,nbc,rappers,interview,youtube,sayhername,worldwide,royalty,blacktwittersa,level1lockdown,blackfriday,meghanlinsey,themourning,blackhistorymonthuk,global,soundcloud,policebrutality,nba,trapmusic,alllivesmatter,tip,drdre,spotifypodcasts,blues,rockthevote,dosomething,flipthesenateblue,nativevote
allblacklivesmatter,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
translivesmatter,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stopthekillings,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nowplaying,28,13,9,3,7,0,50,0,0,0,0,2,2,0,4,1,2,0,1,0,5,3,0,2,0,0,0,0,0,4,0,0,0,0,1,1,2,0,0,1,1,0,6,0,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
wewillvote,41,0,40,0,0,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
podernfamily,2,16,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,15,0,0,0,15,0,15,15,15,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vote,20,10,9,2,2,0,2,0,1,0,0,0,0,0,2,0,32,1,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,4,0,0,0,4,0,0,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,5,5,5
artist,10,4,13,2,11,0,0,0,0,0,0,7,1,0,3,7,0,0,0,0,1,0,0,2,0,0,0,0,2,5,0,1,17,0,2,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,5,0,0,5,1,3,0,0,0,0,0,0,2,3,4,2,0,1,0,0,0,1,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0
usa,8,7,11,0,0,0,0,0,0,0,0,6,0,0,2,0,4,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
share,19,7,8,0,5,0,1,0,3,0,0,2,3,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,1,4,0,0,0,5,0,0,4,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
museboost,0,0,21,4,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racism,24,4,6,0,1,0,5,0,0,0,0,0,8,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
coronavirus,19,2,1,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itunes,5,11,16,0,4,0,0,0,0,0,0,3,3,0,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,4,1,1,0,3,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
southafrica,6,1,7,1,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
rapper,5,2,6,0,4,0,0,0,1,0,0,6,0,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,4,1,4,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
